,X_draw_graph_fa-0,X_draw_graph_fa-1
cell_319,-3437.837879154108,8286.68464412993
cell_2458,1606.7254643427063,13356.843883307709
cell_2130,1540.767053436775,13452.877860274899
cell_2483,-2873.58288596476,-32859.81927354857
cell_1463,-2070.026854078493,-35472.139725636895
cell_1782,2005.6206007070095,12698.069830353652
cell_1811,1475.0853410762945,12471.297002011504
cell_2613,1366.476709885155,13104.734017089057
cell_2370,1169.949555729352,13481.293366097203
cell_2637,21.503839333719966,12977.328961528401
cell_1942,651.7992694132005,14640.074530322054
cell_150,-6165.198811983157,11832.767528318669
cell_1944,458.845137358512,14728.16100291632
cell_346,-4042.3278119531396,11433.117995978693
cell_1754,-1603.056531401915,-35935.02344034135
cell_1525,3647.57076807436,8720.14616617827
cell_1622,1386.1083641957741,13416.40108961871
cell_1456,2379.696865775917,12287.4231022564
cell_1936,1908.9171492775126,13769.795180186491
cell_2522,704.5183602110252,13794.651878207407
cell_325,-4876.829961467567,10072.237501245647
cell_1805,1454.7570100533842,12570.578236236455
cell_2437,1536.6381705012063,12378.85298882915
cell_91,-2443.3976033861304,-34367.61492010002
cell_2002,2238.0118200777815,11071.926002900778
cell_311,-1353.71464455498,11832.12270480604
cell_1739,2225.879448040541,13130.130245406172
cell_2087,1322.3263248865114,10869.738918831894
cell_2280,1226.8020141007112,-40598.80116401061
cell_2269,650.847382022818,14077.080596891765
cell_1980,805.47950240398,14539.491606270705
cell_2176,2005.3203656923256,12973.113741896916
cell_1618,1496.9993834016811,13448.622054538695
cell_2608,954.28936915759,13778.291053790092
cell_1833,-360.3766638605484,13797.058471148435
cell_2185,801.6195224410558,11040.457137463764
cell_1476,1041.009303458866,12996.512965979147
cell_2507,1119.2914516683184,14666.924904530213
cell_1458,1343.879201654848,11321.502293621963
cell_2160,1355.569483560455,14013.261002521427
cell_122,-5825.069949614823,12167.720682515386
cell_2651,827.2062007043418,14118.945978119697
cell_2434,710.8165770865655,13856.153202698579
cell_2327,-195.3569448101156,14291.697359951668
cell_2408,878.482691124716,14217.29290441085
cell_2584,3709.595515615409,7556.024862611476
cell_2190,1825.4688766430058,13940.368256209134
cell_2564,219.85421483678599,14575.497483066409
cell_2057,443.4368476758267,14900.799880786019
cell_2559,2150.2295144800446,12556.281102157207
cell_1501,1872.292788155973,9335.330671031785
cell_160,-2072.0200262337294,-35513.150911769866
cell_2514,406.8746475109124,-41260.82984533856
cell_1548,1622.1499126186177,12932.709490269342
cell_1619,1163.8111769455672,12850.518010848944
cell_2400,777.2484884254824,13503.552954455516
cell_2432,1355.7177938515167,14132.094729183495
cell_1613,2157.198905805005,12176.06219650171
cell_2421,1471.3510717647384,13758.650091179781
cell_2239,-2333.0318666986614,-33686.41624006864
cell_127,-4791.780189710322,9763.19889149611
cell_2202,446.7405622693947,14569.89733277228
cell_2513,1782.444509735068,11973.02719932076
cell_2141,3146.9619088219033,15783.033830925526
cell_1755,375.428718666481,13072.614803861597
cell_165,-5761.014529182841,11960.86432151309
cell_326,-1935.4124204691095,8046.81637963775
cell_2504,1719.3665667772004,12522.087038104415
cell_2005,1303.0094497319546,14029.317234354403
cell_288,1575.8687044189692,6156.817893230498
cell_1766,754.9474457132308,14078.360269315404
cell_2211,3690.833880851063,9396.10767073037
cell_307,-4657.722120165937,10146.933625416495
cell_2526,1748.9121631897572,12920.433044585898
cell_322,-2125.85231509534,9182.254733638158
cell_72,-205.60286394043874,-40690.547948809726
cell_2056,1801.1098130069872,12811.397816563484
cell_247,-1821.7710412106198,10667.858213285215
cell_1629,1472.9472347926212,15952.26153988422
cell_2180,4549.379859345889,6747.299885194196
cell_1491,-3808.443772795723,-29715.555759436327
cell_2520,1879.793924032693,12150.85548227387
cell_1903,805.9388676529585,14217.857415206738
cell_107,-826.2396808751723,-40524.65470456926
cell_2029,361.2315227204416,13483.288838617951
cell_2080,1698.915201477673,13432.085942491001
cell_1658,556.1496326687895,14718.646255923632
cell_2454,1050.1993544980223,14643.087795134476
cell_1775,2758.9774825009813,8857.449622370086
cell_2463,1966.70369167378,10310.263673172316
cell_2102,2385.961435607271,12348.383610269504
cell_2656,1362.5701046244624,12833.133860749513
cell_1742,1226.423617179397,14138.993856687814
cell_161,-4895.864423643571,12262.434030946839
cell_27,-4423.730175054857,11483.166097729476
cell_2024,2474.8931626852986,14592.529661714238
cell_2422,2039.6697511942061,13545.383047545896
cell_1567,602.951007107836,14435.022619853045
cell_1906,676.5273625366925,14289.199550455767
cell_2094,-257.0248759845876,14821.618245883807
cell_334,-202.09840567170727,10262.580525015954
cell_2578,-339.25025252367953,13117.222519681834
cell_1677,1208.3749939569043,13373.076513311667
cell_328,-3057.07642083685,-32983.70404556556
cell_308,-5416.248168752381,10409.040823000365
cell_1842,1276.2043307043286,13664.65663104074
cell_330,-5497.633317522682,11326.121069348965
cell_2460,-3321.9421684305426,-27639.827682997016
cell_2078,1493.460664004262,12203.781179831634
cell_94,-5393.611114291757,11192.817399784648
cell_2143,2313.8594836286557,12419.330538283724
cell_17,84.90135571157192,6266.198954206936
cell_2036,2749.180597521034,9436.354771976445
cell_1966,1130.0817972964096,12778.725652020335
cell_1642,1967.6382178372326,10679.819244457292
cell_2537,2778.0078747191237,10988.652157338007
cell_2621,1123.1019207007284,14561.72436051528
cell_1500,1269.0548986837855,14100.204074821087
cell_2597,628.2664112063176,11633.502158017416
cell_1682,983.8192214006178,13219.146540923784
cell_239,2904.8748619281837,4996.69095285703
cell_2585,1997.3513211315774,13080.706367423629
cell_2277,338.06967904646586,-36574.62082352893
cell_12,-3236.564219677406,-28513.93260972208
cell_339,-609.2075466116573,-38616.03351667374
cell_2528,2345.5071478348395,10921.33314275678
cell_1549,5144.060535959419,5355.536236276814
cell_114,3669.635866918318,4477.575037992153
cell_152,-5581.443611835527,11990.801859798861
cell_130,900.1061102384144,5902.998982242121
cell_1815,-1094.57252547742,11350.904292949519
cell_2290,-201.07794239721358,14851.20277810808
cell_1726,113.80713959388014,14177.08557596889
cell_2054,2299.6232442509076,10115.74749743309
cell_1932,3196.4434665248286,8587.104240650531
cell_1958,1623.3755640313038,11500.10194217589
cell_6383,2148.625691770434,9259.260948534009
cell_5926,26.467785525708205,12949.034432561573
cell_7551,1365.6784684890547,8661.101969833313
cell_6879,1146.3991976280154,7458.759433249287
cell_5745,139.97304318348762,13726.220523358714
cell_6703,1392.9313461006961,11628.719154608973
cell_6649,-1379.7211566171493,-40345.888716390895
cell_6081,1745.1459265336212,11085.656038584562
cell_5710,1916.3132374030558,-39844.9251696307
cell_5829,374.45556462866426,13104.864792267294
cell_7487,-503.41845445562774,14115.198237781431
cell_6446,850.1604573061788,14709.597268446374
cell_6611,615.8008676186865,12106.67706135407
cell_5901,153.31372781565835,13180.090928912587
cell_6773,-113.74347173344431,13112.719979261725
cell_6281,-1033.7245450611792,14342.109218581081
cell_5836,1764.5235842137683,9429.311149584892
cell_5673,-292.77841727766247,12630.525067985716
cell_5571,-915.9554806824433,13596.990731093741
cell_5889,1227.9840523798075,10890.007209814192
cell_6444,1882.4075926037638,10177.021817429655
cell_7359,-486.11336741512974,13557.519179391373
cell_6442,2013.6576351520225,10155.383887104434
cell_7600,1856.5400994620095,9947.378753198382
cell_6861,218.35976738292825,13088.74025263378
cell_6590,-3431.582989476356,-28013.822413358608
cell_5822,-93.73188699660405,11950.237789085315
cell_5657,-3965.8424095726014,-29131.952768735067
cell_6007,1251.152659637656,11546.49668373985
cell_7156,-2952.8336484047163,-32902.712098585194
cell_5560,-1261.9739705617367,11965.666496207361
cell_5788,137.95626023141173,12819.04172844028
cell_6483,-3133.256648767207,-26831.686579005207
